sentences,label
"if ferc does nothing and allows this marketbased rate authority to continue, what would you do?",1
"joseph, could you please set up a number for 8:30 am on monday for 30 minutes.",1
orders for communications equipment and semiconductors were notably higher.,0
can you get in touch with him?,1
"sanctity of contracts should be kept. """,0
do you like the idea and would you be willing to help in some of these ways?,1
up 76% since the beginning of october.,0
please keep me posted on seminar plans in europe re energy.,1
please log anything you make available to aa.,1
"""hell, he'll fail even faster with that model,"" sam said.",0
please call me at x58456 if you have any questions or comments.,1
please let me know whether or not you are interested in changing your cell phones to a personal account.,1
please let us know if there is any further information that you need.,1
important for us in our physical business.,0
please contact me at 34584 if you wish to discuss.,1
(see attached file: 360 networks enron nda.,0
Schedule the new volume under the gathering.,1
"carl tricoli (7136468863), richard sanders (7136463393) and me (3037409776).",0
please contact me if you had any problems with it.,1
please let me know if either of you are in possession of this agency agreement.,1
would you like to be in their distribution list?,1
rates are available through 12/15/01.,0
rule maker: the rule maker xprience rick munarriz defends the rule maker strategy and aims to prove it by taking a look at microsoft's future.,0
please let me know if you can not attend today.,1
i just want to double check that it is being represented properly in our currency positions.,0
"amitava, can you schedule a brainstorming session with vasant, tanya, rakesh, myself and ben (if possible)?",1
can you make sure this moves on to legal?,1
"robert, please chat with rhonda on which contract to use.",1
"share prices are volatile, and investors need to be compensated for the risks.",0
wanted to give you a heads up to these flexible physical deals that might involve your desks via eol in the near future.,0
i'll see if i can make a combination trip.,0
please let me know if you cannot log in.,1
"it will have a wide array of services for its employees, from child care to medical care to onsite food services.",0
com and entering your passport number and last name.,0
please note whether the ccs are appropriate (i've included wendy gramm) thanks,1
there is a new deal with hilcorp traded on 08/31.,0
do take it slower hear the music before the song is over.,0
please let me hear from you or whomever may have reviewed this issue.,1
"becky i will read tonight, please call me tomorrow morning to dsicuss.",1
every golf course in houston has a golf tournament next friday.,0
can you or jeff help?,1
regardless we still need to do all of the tasks listed below to get ready.,0
Please call me to discuss this issue or schedule time to do the same.,1
the proposed reciprocal amount is $5.,0
"t jae, please put this on my calendar and remind me beforehand if you would.",1
please apologize to hedy.,1
"please note the following dial in number and password, as well as the new date and time.",1
please n ote: you cannot use this document to pass through airport security.,1
please email me what you would like written about your company.,1
please work with jim saunders as to where within hpl this is to be charged.,1
"mr. sims formerly served as vice20 president of sales and business development at enjoyweb, a provider of medi a20 delivery software for ipenabled broadband services.",0
please let me know if you have any questions or if you need any additional information.,1
please let us hear from you in the near future as the printing deadline for the invitation is approaching.,1
will kelly's performance will be evaluated during the next few months to determine if he will be the permanent controller for the east region.,0
"paul, please let your group know that this module has been created.",1
please call when time permits.,0
"Chris and Scott, please check the term and pricing, and correct the deal tickets.",1
please let me know if you'd like to proceed with placement in a ca newspaper.,1
"but,can you please provide me specifics on what you plan to do with that money?",1
please review and send me your comments.,1
"not only is it not cool, it should be against the law.",0
click here: you received this email because someone visited our site and wanted to tell you about it.,0
please leave as much information concerning your shift as you can.,1
the one exception on the democratic side so far has been senator machado who has requested iep draft language on longterm contracting.,0
please let me know if you have any further questions.,1
the breakfast is available from 06000800 in the hotel restaurant.,0
Just let me know what time is ideal and will schedule it with Erik.,1
please call if you need any further documentation.,1
please let me know how you would like to proceed.,1
would you be able to go at 12:00 noon?,1
believe it or not i have a couple of people who can help with planning et al.,0
", wr sf taydang updated 11/27/01owens suffered a sprained right foot on sunday to go along with his sprained left ankle.",0
offer void outside usa.,0
"the company also operates a securityfocused technology incubator, genuone technology capital.",0
jeff/jason please forward to dan (i don't have his new email) see you at the beach!,1
please review the memo and target any of your customers that may have an interest.,1
if not can you call her with an update?,1
"tim, can you rough out a slide on rating agencies?",1
please let me know if you are happy with this.,1
"please call either sara shackleton, esq.",1
enron is moving away from owning large physical assets so it can focus on trading and making markets in a variety of commodities.,0
"in related developments, the company said it has added two new general partners, nicolas el baze and david welsh, to its team.",0
Please provide daily support of business operations to customers.,1
please make sure that you bring your vitol travel receipt with you and your valid id.,1
would you be available during one of those days?,1
get ready for the ultimate in family fun with jim prentice!,0
"in theory, they can use the precedent within ees that orig/product development does their own notional pricing before going to deal mgmt.",0
"if it was sent, can you send savita & i the final memo?",1
his assistant (heather choate) is included in your mailing list.,0
please see attached presentations as requested.,1
Please review for clairty and content on the document which is completed by John.,1
please forward this to him or give paul cherry (x36409) rob's phone number or email address.,1
"""i t's throbbing,"" barlow told the contra costa times.",0
please let me know if you have any questions or would like to receive copies of the legislation.,1
can you send me an email back.,1
"after sp telecom's formation, an investor will be selected to purchase the majority of the company's shares.",0
for california it was assembly speaker hertzberg and geoff brown (newly appointed ca puc commissioner).,0
any time would be fine with me.,0
"electricity of vietnam (evn) is an unbundled state monopoly, which does not even service rural customers.",0
i am so pleased that you mentioned she would be available.,1
market participants: please direct all comments to the cmr recommendation to the board to byron woertz at thank you!,1
please draft and send me an email with your description of your businesses.,1
"our records show that it hasn't been paid, which is good.",0
"i have a better chance of remembering ""mamona"".",0
please let me know if you want me to participate in any gas panels.,1
"right, now the err atic qb is playing well enough to be used as a fantasy reserve.",0
we also need to coordinate the legal risk memo.,0
"to help expedite your request, please be sure to have your confirmation number available.",1
attached is steve harris' presentation.,0
question is whether there is enough nondiscretionary stg to meet load at other times and in the producing region.,0
please advise if you have any questions or if i may be of further assistance.,1
"matt hasselbeck < qb sea bass/hull updated 12/02/01 hasselbeck threw for 202 yards, no tds and no interceptions against the chargers.",0
"if business units find this is not acceptable, they should seek approval for their attendance from jeff skilling.",0
"due to the locational nature of the edrp calls, a unit called one day, may or may not be needed the next.",0
"gray davis wants to attract enough peaking plants 01) which typically 20 produce 50 megawatts or less each 01) to gain 1,000 megawatts this summer.",0
please send me the details of the nomination error when you get a chance.,1
please call me directly if you need my input or if i can do anything else to help.,1
"hello dylan, thanks, this looks good.",0
can we please load the programs that i emialed you earlier?,1
tanya identified the sections of the code that produce inefficiencies but the rest is in the winston's hands.,0
tis weekend is a long weekend.,0
"please encourage any houstonarea girls 1114 and in grades 6, 7 and 8 you know to apply for .",1
"dan blackburn, the rangers' rookie goaltender, was pelted with 51 shots on goal in a loss to the capitals that was marred by penalties.",0
the staff assessment can be viewed on the energy commission's website at: the document includes the energy commission staff's comprehensive analyses of the 91.,0
please provide comments by the end of day today.,1
can you help me on this?,1
more at winners hof2 heating oil jan 2002 0.,0
"if you have any questions, please call me at 81352194581 tomorrow morning our time or wednesday afternoon your time.",1
then ectric thinks it has a position with ena so we lose the third party exposure.,0
can you double check with bob for accuracy.,1
please call donald macbeth either today or tomorrow and find out status of their response.,1
"hot deals to the caribbean, las vegas, and more!",0
"on the new york stock exchange alone, 181.",0
please tell me again which one of these agreements you want to go out asap?,1
please note you will have the opportunity to buy at the public on sale on saturday feb 10th.,1
let me know of any changes by noon please!!!!!!!!!,1
the move was made in an effort to halt the knicks' twogame losing streak while also giving the offense some much needed scoring punch.,0
"mark, do you have any customers that we could invite as a guest to this event.",0
"Mark, ensure we have healthy utilities and that our state isn't burdened for decades by high energy costs.",1
"they offer an easy and efficient way to manage commodity index funds, commoditylinked insurance products, or commodity exposure in multiasset products.",0
"everyone, please ignore the invitation from the houston office to complete forms and attend benefits orientation, etc.",1
would you like me to continue offering advise and assistance or let robert function entirely on his own?,1
sponsor me you will help millions of kids like mine that are desperately looking for a cure.,0
please send the draft to credit first and we will check the new language.,1
london may be working on trading matters concerning this counterparty.,0
can you come and see me when you get in.,1
please follow the instructions below where it's appropriate.,1
please let me know if you are interested and if june 15 or june 16 fits your schedule.,1
currently there is not a whole floor available.,0
please ensure you use the form at this location at all times henceforth.,1
i have decided against participating with tradernews or powerdex.,0
it appears that vepco is not far along in the study process.,0
pg&e is calling it quits on its backbone open season application.,0
"for the full story, please visit aol ~~~~~~~~~~~~ 11. best bargains are in the cardsbut which one?",1
he promised to look into dad's release and let us know what is going on.,0
Can we build a transparent voting system that can be accesed right through our cell phones?,1
"to take advantage of these 1/2 off promotions, once you login, please check your online mailbox by selecting ""inbox"".",1
please make sure that we have emailed mark symms your links and directories for the web site.,1
cowboys head coach dave campo said after fri!,0
she is going for work and i might try to tag along.,0
"good morning everyone, timesheets are due once more, please let me know if you have any exceptions (vacation, sick.",1
i guess we should check this out to see whether there is any cost advantage.,0
he wanted understanding of this vision.,0
"additional $800,000 not in the dash from true up structure and major maintenance savings.",0
"Thanks again, T.Jae Please submit any changes or questions about the hotlist by the end of the day today.",1
please let me know who i should have them call.,0
i am starting as an analyst next february and i have alot of interest in real options.,0
please forward your comments directly to lad lorenz and/or steve watson.,1
i have other problems on my mind.,0
please do try it with that option checked and let me know.,1
"i'm happy to report that we are all home now and except for a lack of sleep, we are all doing well.",0
"""the w ay20 to get around that is to use the market power of the federal government to 20 help create a market. """,0
aes and a few other companies have already shown interest in taking over the project.,0
can you see the concept of confluence at work here?,1
please advise me and david if you have any issues with the modifications he is proposing.,1
please click on and complete your online pledge.,1
huge onebedroom with new kitchen/bath and large living room at a great west side location.,0
john: i'm used to calling you johnny so please let me know your preference.,1
please let me hear from you if you would like for me to pursue further.,1
"please email us at: yours sincerely, anthony gottlieb editor, economist.",1
you will see that i have already copied it to louise and elena.,0
please open the following attachment and sned in your response asap.,1
"shirley, can you set up a phone interview with him.",1
please let me know how you sourced the gas.,1
"please, contact us for thecopy of the paper if this caught your attention.",1
can you give me your phone # so i can give you a call?,1
please contact your dedicated signature services team if you need further assistance.,1
"michelle, can you comment from a legal perspective?",1
"it is called axis and the official launch date is monday, january 31, 2000. this axis site has everything you need in a userfriendly format.",0
location will be eb 49c4.,0
"charlie, could you please refresh the prices for the collars and the fixed prices as of friday's close?",1
these are trying times for all of us.,0
another related issue has been discussed in issue no.,0
can you make it up?,1
"the newlook petrobras has been winning supporters among the financial community, however, with record profits last year of rdollars 9.",0
would you like to know?,1
please let me know if you see any updated needed.,1
please if you have any questions call.,1
suzanne: can you tell me who my hr rep is?,1
he did not say when that would be.,0
"cannot explain them one morning, a blonde called her boyfriend and said, ""please come over and help me.",1
please take just a few minutes and give us your very important opinions.,1
"john, would you have 45 minutes later this week for eric and myself?",1
free self parking available.,0
this is well below the hearing range.,0
"carolyn, please send ge's comments to the delta team.",1
ubs warburg holds 7.,0
would you be interested in golf on sat ?,1
please let me know if others should be included in the invite list.,1
most of the long range models indicate the blockin g in canada will ease allowing for a northward migration of the jet stream.,0
ray alvarez will you please follow up with cra and jan acton?,1
"great, i've got it on my calendar.",0
"when i run it, we are much closer (within $20,000), but this is not the # you went home with.",0
the company is also reviewing its riskmanagement policies.,0
i continue to believe that kenny m was the only logical choice.,0
cynthia i think you have told us what we need to know.,0
"please call me today, or over the weekend if you have any questions.",1
i don't want bcckop to be able to shut the facility down and hold us hostage for payment of something.,0
please let me know your thoughts and if you have any questions.,1
how long will you be visiting?,1
"ag, please check in particular the dpc/metgas stuff.",0
guys: please see attached letter.,1
"to ensure accuracy, please review and let me know if there are any changes before the distribution.",1
"please let me know if you need anything further, and again, i appreciate your cooperation in arranging these interviews.",1
please notify jean mcfarland or mary vollmer if you have any questions.,1
"in light of our meeting with skilling and the feedback i got back, i'm not sure i understand your direction.",0
"the two of them then came with me to istanbul, and hopped on a plane back to london.",0
i would be pleased to receive a copy of your presentation with the promise of noncirculating the material.,1
kay please let me and fred know when we can review this.,1
congress is appropriately holding a number of hearings to seek answers to that question.,0
"the market started to turn against them and ultimately, the transactions were unwound all at once.",0
Please verify the following info to confirm for deal.,1
sources told the financial express that the prima facie dpc has ruled out the possibility of cutting the tariff at rs 2 .,0
"each class only holds 25 students, so please make your choices early to guarantee a spot.",1
"please visit sign in < and select ""forgot your password. """,1
please send me any comments you have and i will forward on to quinn emanuel.,1
i met dan yesterday for the first timeseem like a very good guy.,0
"victor, can you extend the deal 422516 for days 6 and 9 please?",1
"brian, please reply to me with a number for us to reach you, via telephone conference for these meetings.",1
can you find out if the tech group has scheduled installation of a dsl line in my apartment?,1
